"" "indnum" "x" "y" "inftime"
"1" 1 1 1 0
"2" 2 2 1 0
"3" 3 3 1 0
"4" 4 4 1 0
"5" 5 5 1 0
"6" 6 6 1 0
"7" 7 7 1 0
"8" 8 8 1 0
"9" 9 9 1 0
"10" 10 10 1 0
"11" 11 1 2 0
"12" 12 2 2 0
"13" 13 3 2 0
"14" 14 4 2 0
"15" 15 5 2 0
"16" 16 6 2 0
"17" 17 7 2 0
"18" 18 8 2 0
"19" 19 9 2 0
"20" 20 10 2 0
"21" 21 1 3 0
"22" 22 2 3 2
"23" 23 3 3 0
"24" 24 4 3 0
"25" 25 5 3 0
"26" 26 6 3 0
"27" 27 7 3 0
"28" 28 8 3 0
"29" 29 9 3 0
"30" 30 10 3 0
"31" 31 1 4 0
"32" 32 2 4 0
"33" 33 3 4 0
"34" 34 4 4 0
"35" 35 5 4 0
"36" 36 6 4 0
"37" 37 7 4 0
"38" 38 8 4 0
"39" 39 9 4 2
"40" 40 10 4 0
"41" 41 1 5 0
"42" 42 2 5 0
"43" 43 3 5 0
"44" 44 4 5 0
"45" 45 5 5 0
"46" 46 6 5 2
"47" 47 7 5 0
"48" 48 8 5 2
"49" 49 9 5 2
"50" 50 10 5 0
"51" 51 1 6 0
"52" 52 2 6 0
"53" 53 3 6 0
"54" 54 4 6 0
"55" 55 5 6 2
"56" 56 6 6 0
"57" 57 7 6 0
"58" 58 8 6 1
"59" 59 9 6 2
"60" 60 10 6 0
"61" 61 1 7 0
"62" 62 2 7 0
"63" 63 3 7 0
"64" 64 4 7 0
"65" 65 5 7 0
"66" 66 6 7 2
"67" 67 7 7 2
"68" 68 8 7 2
"69" 69 9 7 0
"70" 70 10 7 0
"71" 71 1 8 0
"72" 72 2 8 0
"73" 73 3 8 0
"74" 74 4 8 0
"75" 75 5 8 2
"76" 76 6 8 0
"77" 77 7 8 0
"78" 78 8 8 2
"79" 79 9 8 2
"80" 80 10 8 0
"81" 81 1 9 2
"82" 82 2 9 0
"83" 83 3 9 0
"84" 84 4 9 2
"85" 85 5 9 0
"86" 86 6 9 0
"87" 87 7 9 0
"88" 88 8 9 0
"89" 89 9 9 0
"90" 90 10 9 0
"91" 91 1 10 0
"92" 92 2 10 0
"93" 93 3 10 0
"94" 94 4 10 0
"95" 95 5 10 0
"96" 96 6 10 0
"97" 97 7 10 0
"98" 98 8 10 0
"99" 99 9 10 0
"100" 100 10 10 0
